coverage	n
2144	0
2145	1
2146	0
2147	0
2148	1
2149	0
2150	0
2151	0
2152	0
2153	0
2154	0
2155	0
2156	0
2157	1
2158	0
2159	0
2160	1
2161	0
2162	0
2163	0
2164	0
2165	0
2166	0
2167	0
2168	0
2169	0
2170	0
2171	1
2172	0
2173	0
2174	0
2175	0
2176	1
2177	1
2178	1
2179	0
2180	0
2181	0
2182	1
2183	0
2184	0
2185	0
2186	0
2187	0
2188	0
2189	1
2190	3
2191	13
2192	7
2193	3
2194	3
2195	6
2196	4
2197	1
2198	4
2199	10
2200	0
2201	5
2202	4
2203	1
2204	1
2205	2
2206	0
2207	0
2208	1
2209	0
2210	1
2211	0
2212	0
2213	0
2214	1
2215	0
2216	1
2217	1
2218	0
2219	0
2220	0
2221	0
2222	0
2223	0
2224	0
2225	0
2226	0
2227	0
2228	0
2229	0
2230	0
2231	0
2232	0
2233	0
2234	0
2235	4
2236	1
2237	1
2238	1
2239	0
2240	1
2241	5
2242	1
2243	3
2244	1
2245	1
2246	4
2247	1
2248	1
2249	3
2250	5
2251	2
2252	0
2253	6
2254	0
2255	3
2256	3
2257	3
2258	6
2259	8
2260	4
2261	14
2262	2
2263	0
2264	3
2265	2
2266	6
2267	5
2268	3
2269	7
2270	9
2271	4
2272	13
2273	8
2274	1
2275	6
2276	1
2277	0
2278	5
2279	1
2280	6
2281	11
2282	18
2283	6
2284	12
2285	7
2286	3
2287	7
2288	7
2289	3
2290	4
2291	3
2292	1
2293	5
2294	1
2295	2
2296	2
2297	0
2298	1
2299	2
2300	1
2301	0
2302	2
2303	1
2304	0
2305	3
2306	0
2307	1
2308	0
2309	1
2310	0
2311	0
2312	0
2313	0
2314	0
2315	3
2316	1
2317	1
2318	2
2319	1
2320	0
2321	0
2322	0
2323	0
2324	0
2325	0
2326	0
2327	0
2328	0
2329	1
2330	8
2331	9
2332	4
2333	6
2334	4
2335	2
2336	2
2337	18
2338	7
2339	12
2340	6
2341	3
2342	9
2343	6
2344	0
2345	6
2346	2
2347	2
2348	7
2349	16
2350	5
2351	3
2352	3
2353	1
2354	2
2355	2
2356	3
2357	1
2358	1
2359	4
2360	1
2361	2
2362	0
2363	10
2364	3
2365	3
2366	7
2367	16
2368	18
2369	29
2370	15
2371	12
2372	7
2373	4
2374	17
2375	6
2376	7
2377	10
2378	6
2379	19
2380	12
2381	9
2382	0
2383	2
2384	3
2385	0
2386	3
2387	3
2388	4
2389	1
2390	1
2391	0
2392	0
2393	0
2394	0
2395	0
2396	1
2397	0
2398	0
2399	0
2400	0
2401	0
2402	0
2403	1
2404	0
2405	2
2406	2
2407	5
2408	4
2409	5
2410	13
2411	14
2412	12
2413	4
2414	8
2415	0
2416	4
2417	12
2418	8
2419	15
2420	9
2421	4
2422	2
2423	4
2424	9
2425	9
2426	2
2427	7
2428	7
2429	4
2430	4
2431	4
2432	11
2433	9
2434	2
2435	6
2436	10
2437	34
2438	6
2439	5
2440	3
2441	8
2442	7
2443	5
2444	2
2445	5
2446	7
2447	7
2448	3
2449	1
2450	3
2451	4
2452	5
2453	1
2454	2
2455	3
2456	3
2457	1
2458	2
2459	2
2460	0
2461	1
2462	2
2463	1
2464	0
2465	3
2466	1
2467	2
2468	6
2469	1
2470	4
2471	14
2472	8
2473	5
2474	9
2475	3
2476	1
2477	8
2478	1
2479	5
2480	1
2481	3
2482	2
2483	2
2484	21
2485	7
2486	11
2487	0
2488	8
2489	5
2490	2
2491	0
2492	3
2493	1
2494	1
2495	7
2496	2
2497	1
2498	2
2499	4
2500	2
2501	2
2502	4
2503	3
2504	2
2505	6
2506	11
2507	7
2508	5
2509	7
2510	2
2511	2
2512	2
