coverage	n
1724	6
1725	5
1726	0
1727	1
1728	12
1729	5
1730	0
1731	1
1732	5
1733	4
1734	3
1735	4
1736	3
1737	9
1738	4
1739	3
1740	10
1741	13
1742	12
1743	12
1744	12
1745	6
1746	1
1747	2
1748	4
1749	1
1750	1
1751	2
1752	2
1753	3
1754	1
1755	1
1756	1
1757	2
1758	1
1759	6
1760	4
1761	17
1762	14
1763	4
1764	8
1765	13
1766	12
1767	12
1768	14
1769	15
1770	16
1771	9
1772	14
1773	3
1774	1
1775	8
1776	5
1777	2
1778	0
1779	8
1780	7
1781	5
1782	9
1783	3
1784	2
1785	3
1786	1
1787	3
1788	6
1789	1
1790	3
1791	5
1792	2
1793	5
1794	11
1795	4
1796	11
1797	10
1798	18
1799	10
1800	5
1801	9
1802	22
1803	10
1804	27
1805	18
1806	6
1807	14
1808	16
1809	12
1810	20
1811	21
1812	14
1813	28
1814	28
1815	18
1816	17
1817	14
1818	25
1819	23
1820	14
1821	27
1822	45
1823	17
1824	19
1825	18
1826	24
1827	7
1828	19
1829	13
1830	14
1831	13
1832	15
1833	19
1834	3
1835	19
1836	4
1837	1
1838	7
1839	1
1840	2
1841	4
1842	5
1843	4
1844	2
1845	12
1846	4
1847	4
1848	7
1849	4
1850	6
1851	10
1852	17
1853	14
1854	12
1855	10
1856	13
1857	13
1858	4
1859	10
1860	11
1861	15
1862	19
1863	23
1864	20
1865	9
1866	11
1867	2
1868	16
1869	16
1870	7
1871	2
1872	4
1873	0
1874	12
1875	7
1876	8
1877	4
1878	8
1879	9
1880	8
1881	13
1882	5
1883	2
1884	1
1885	1
1886	1
1887	2
1888	1
1889	0
1890	1
1891	0
1892	0
1893	0
1894	0
1895	1
1896	0
1897	0
1898	0
1899	1
1900	2
1901	1
1902	2
1903	1
1904	0
1905	0
1906	0
1907	1
1908	0
1909	0
1910	2
1911	2
1912	0
1913	0
1914	0
1915	1
1916	0
1917	0
1918	4
1919	1
1920	1
1921	0
1922	0
1923	0
1924	0
1925	1
1926	0
1927	1
1928	0
1929	0
1930	0
1931	0
1932	1
1933	2
1934	0
1935	1
1936	1
1937	2
1938	0
1939	1
1940	5
1941	1
1942	1
1943	4
1944	3
1945	0
1946	0
1947	0
1948	1
1949	2
1950	0
1951	2
1952	3
1953	2
1954	2
1955	1
1956	2
1957	5
1958	5
1959	3
1960	6
1961	2
1962	1
1963	3
1964	0
1965	1
1966	4
1967	4
1968	2
1969	3
1970	2
1971	3
1972	0
1973	2
1974	3
1975	1
1976	9
1977	3
1978	7
1979	2
1980	2
1981	0
1982	0
1983	5
1984	3
1985	8
1986	3
1987	2
1988	4
1989	3
1990	0
1991	2
1992	0
1993	1
1994	5
1995	1
1996	2
1997	4
1998	3
1999	2
2000	7
2001	4
2002	4
2003	5
2004	1
2005	4
2006	7
2007	6
2008	5
2009	2
2010	4
2011	1
2012	1
2013	2
2014	1
2015	1
2016	1
2017	0
2018	3
2019	2
2020	1
2021	0
2022	1
2023	3
2024	4
2025	5
2026	2
2027	1
2028	0
2029	4
2030	3
2031	3
2032	7
2033	8
2034	3
2035	6
2036	5
2037	2
2038	0
2039	1
2040	3
2041	5
2042	7
2043	15
2044	6
2045	1
2046	1
2047	2
2048	3
2049	2
2050	6
2051	1
2052	3
2053	6
2054	6
2055	3
2056	5
2057	4
2058	3
2059	0
2060	0
2061	2
2062	3
2063	1
2064	2
2065	2
2066	0
2067	1
2068	0
2069	1
2070	2
2071	1
2072	3
2073	1
2074	2
2075	1
2076	0
2077	1
2078	1
2079	4
2080	1
2081	1
2082	0
2083	3
2084	4
2085	4
2086	1
2087	1
2088	5
2089	3
2090	3
2091	0
2092	5
2093	4
2094	10
2095	3
2096	4
2097	4
2098	7
2099	0
2100	0
2101	1
2102	2
2103	2
2104	2
2105	3
2106	6
2107	4
2108	4
2109	8
2110	3
2111	4
2112	2
2113	4
2114	4
2115	5
2116	16
2117	5
2118	4
2119	11
2120	0
2121	4
2122	7
2123	13
2124	20
2125	7
2126	3
2127	0
2128	0
2129	1
2130	1
2131	4
2132	7
2133	3
2134	1
2135	0
2136	1
2137	5
2138	5
2139	2
2140	5
2141	3
2142	3
2143	3
2144	4
2145	4
2146	5
2147	5
2148	8
2149	8
2150	7
2151	15
2152	14
2153	7
2154	2
2155	9
2156	2
2157	9
2158	25
2159	19
2160	12
2161	7
2162	21
2163	6
2164	2
2165	10
2166	3
2167	4
2168	2
2169	2
2170	1
2171	0
2172	0
2173	2
2174	2
2175	1
2176	0
2177	2
2178	1
2179	1
2180	2
2181	5
2182	0
2183	0
2184	0
2185	2
2186	5
2187	5
2188	5
2189	6
2190	8
2191	19
2192	8
2193	2
2194	5
2195	1
2196	3
2197	3
2198	2
2199	3
2200	2
2201	6
2202	3
2203	0
2204	1
2205	0
2206	2
2207	1
2208	0
2209	0
2210	0
2211	0
2212	0
2213	0
2214	1
2215	1
2216	0
2217	0
2218	0
2219	0
2220	1
2221	0
2222	0
2223	0
2224	0
2225	0
2226	2
2227	2
2228	2
2229	6
2230	3
2231	6
2232	7
2233	3
2234	5
2235	3
2236	13
2237	16
2238	5
2239	15
2240	3
2241	3
2242	14
2243	16
2244	5
2245	1
2246	6
2247	10
2248	12
2249	4
2250	2
2251	10
2252	6
2253	6
2254	3
2255	8
2256	8
2257	4
2258	6
2259	8
2260	3
2261	3
2262	0
2263	4
2264	6
2265	11
2266	0
2267	6
2268	4
2269	3
2270	8
2271	15
2272	2
2273	6
2274	5
2275	17
2276	9
2277	12
2278	23
2279	13
2280	16
2281	16
2282	9
2283	12
2284	9
2285	12
2286	8
2287	13
2288	14
2289	12
2290	15
2291	23
2292	20
2293	29
2294	13
2295	14
2296	20
2297	7
2298	15
2299	4
2300	4
2301	4
2302	0
2303	4
2304	9
2305	6
2306	6
2307	12
2308	6
2309	9
2310	13
2311	12
2312	8
2313	4
2314	4
2315	20
2316	8
2317	21
2318	14
2319	11
2320	5
2321	4
2322	8
2323	1
2324	4
2325	9
2326	6
2327	7
2328	5
2329	2
2330	7
2331	3
2332	9
2333	9
2334	8
2335	6
2336	7
2337	2
2338	7
2339	6
2340	2
2341	2
2342	3
2343	7
2344	11
2345	5
2346	8
2347	12
2348	24
2349	24
2350	23
2351	15
2352	3
2353	5
2354	2
2355	3
2356	2
2357	8
2358	7
2359	3
2360	3
2361	6
2362	3
2363	4
2364	9
2365	7
2366	4
2367	6
2368	2
2369	1
2370	1
2371	5
2372	5
2373	3
2374	7
2375	3
2376	1
2377	2
2378	1
2379	4
2380	5
2381	3
2382	6
2383	2
2384	1
2385	2
2386	2
2387	1
2388	2
2389	5
2390	4
